flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.1,0.55,13,0.12,0.18,0.7166469893742621,0.41746905089408526,0.010163749294184076,0.16883116883116883,0.0,0.0,0.5301418439716312,0.4432624113475177,0.39893617021276595,0.08173233474438293,0.4610184128651811,0.34136630251395034
golden,phi,0.6180339887498948,13,13,0.1,0.55,13,0.12,0.3,0.8583042973286876,0.461875,0.003952569169960474,0.09260304912478826,0.0,0.0,0.2458521870286576,0.49019607843137253,0.3770739064856712,0.0986649299902312,0.4437671141345282,0.39273313034950685
golden,phi,0.6180339887498948,13,13,0.1,0.55,21,0.06,0.18,0.6659012629161883,0.39972432804962094,0.01355166572557877,0.1671372106154715,0.0,0.0,0.4094052558782849,0.4412171507607192,0.43568464730290457,0.07880169325952459,0.45612858885366303,0.33778974925555477
golden,phi,0.6180339887498948,13,13,0.1,0.55,21,0.06,0.44,0.9288939051918735,0.4815681685196021,0.003952569169960474,0.031055900621118012,0.0,0.0,0.0410958904109589,0.4461839530332681,0.3776908023483366,0.1126668837512211,0.4627183955301821,0.46817882471302613
golden,phi,0.6180339887498948,13,13,0.1,0.55,21,0.12,0.18,0.6773809523809524,0.4038325053229241,0.01129305477131564,0.19311123658949747,0.0,0.0,0.4796633941093969,0.4488078541374474,0.42917251051893407,0.08173233474438293,0.4562435799438519,0.33795484769815337
golden,phi,0.6180339887498948,13,13,0.1,0.55,21,0.12,0.3,0.8486997635933806,0.45907928388746805,0.004517221908526256,0.11236589497459062,0.0,0.0,0.22742857142857142,0.4617142857142857,0.40114285714285713,0.09605991533702377,0.4775748418968395,0.4047460832003887
golden,phi,0.6180339887498948,13,13,0.1,0.7,13,0.06,0.18,0.6936542669584245,0.4095607235142119,0.009034443817052512,0.11688311688311688,0.0,0.0,0.3709677419354839,0.2939068100358423,0.5501792114695341,0.08498860306089222,0.4273389684127741,0.35569242417303115
golden,phi,0.6180339887498948,13,13,0.1,0.7,21,0.2,0.18,0.7575757575757576,0.43103448275862066,0.00846979107848673,0.1727837380011293,0.0,0.0,0.4015748031496063,0.2887139107611549,0.5787401574803149,0.08791924454575056,0.45852317819918176,0.3714305611801698
golden,phi,0.6180339887498948,13,13,0.1,0.82,13,0.06,0.18,0.7511061946902655,0.42893240682248895,0.006775832862789385,0.09937888198757763,0.0,0.0,0.2962962962962963,0.18518518518518517,0.6582491582491582,0.09443178117876913,0.45328800143816694,0.4105103672762396
golden,phi,0.6180339887498948,13,13,0.1,0.82,13,0.12,0.18,0.7757437070938215,0.4368556701030928,0.010163749294184076,0.11349520045172219,0.0,0.0,0.3241935483870968,0.2161290322580645,0.6548387096774193,0.09150113969391079,0.4594566111199385,0.4005620653582506
golden,phi,0.6180339887498948,13,13,0.1,0.82,13,0.12,0.3,0.8500563697857948,0.45947592931139547,0.005081874647092038,0.06832298136645963,0.0,0.0,0.1858678955453149,0.21505376344086022,0.6405529953917051,0.10354933246499512,0.461252599773898,0.4552097433032382
golden,phi,0.6180339887498948,13,13,0.1,0.82,13,0.2,0.18,0.8034883720930233,0.4455190199871051,0.007340485601355167,0.11688311688311688,0.0,0.0,0.32192846034214617,0.2177293934681182,0.6609642301710731,0.09215239335721263,0.45950232718370854,0.40584332990628985
golden,phi,0.6180339887498948,13,13,0.1,0.82,21,0.12,0.18,0.740484429065744,0.4254473161033797,0.009034443817052512,0.13890457368718237,0.0,0.0,0.3075,0.20625,0.6725,0.08791924454575056,0.4550102781442219,0.39976859352443644
golden,phi,0.6180339887498948,13,13,0.1,0.82,21,0.12,0.3,0.8295454545454546,0.453416149068323,0.00564652738565782,0.08526256352343309,0.0,0.0,0.1724537037037037,0.19791666666666666,0.6701388888888888,0.09736242266362748,0.4627587723365739,0.45910449111026025
golden,phi,0.6180339887498948,13,13,0.22,0.55,13,0.06,0.44,0.9328859060402684,0.4826388888888889,0.003952569169960474,0.020327498588368152,0.0,0.0,0.03206997084548105,0.6209912536443148,0.37900874635568516,0.11462064474112667,0.4554522196796523,0.47095451401154514
golden,phi,0.6180339887498948,13,13,0.22,0.55,13,0.2,0.44,0.951764705882353,0.48764315852923446,0.003952569169960474,0.05928853754940711,0.0,0.0,0.14136904761904762,0.6369047619047619,0.3630952380952381,0.11103874959296646,0.4686360070266977,0.4410637837777147
golden,phi,0.6180339887498948,13,13,0.22,0.55,21,0.06,0.18,0.6659012629161883,0.39972432804962094,0.01355166572557877,0.1671372106154715,0.0,0.0,0.4094052558782849,0.5643153526970954,0.43568464730290457,0.07880169325952459,0.45612858885366303,0.33778974925555477
golden,phi,0.6180339887498948,13,13,0.22,0.55,21,0.12,0.18,0.6773809523809524,0.4038325053229241,0.01129305477131564,0.19311123658949747,0.0,0.0,0.4796633941093969,0.5708274894810659,0.42917251051893407,0.08173233474438293,0.4562435799438519,0.33795484769815337
golden,phi,0.6180339887498948,13,13,0.22,0.55,21,0.2,0.18,0.6834355828220859,0.40597667638483964,0.00846979107848673,0.21682665160926032,0.0,0.0,0.5281980742778541,0.5845942228335625,0.4154057771664374,0.08140670791273201,0.4525948496049035,0.335438965925372
golden,phi,0.6180339887498948,13,13,0.22,0.7,13,0.12,0.3,0.8616780045351474,0.4628501827040195,0.004517221908526256,0.06832298136645963,0.0,0.0,0.1926163723916533,0.4654895666131621,0.5345104333868379,0.10713122761315533,0.46601077551233483,0.42510985382529465
golden,phi,0.6180339887498948,13,13,0.22,0.7,13,0.12,0.44,0.9389830508474576,0.48426573426573427,0.003952569169960474,0.02710333145115754,0.0,0.0,0.05604719764011799,0.4498525073746313,0.5501474926253688,0.11396939107782482,0.4608393017383067,0.4783885239238092
golden,phi,0.6180339887498948,13,13,0.22,0.7,13,0.2,0.3,0.8216340621403913,0.4510423246999368,0.003952569169960474,0.10220214568040654,0.0,0.0,0.2957516339869281,0.4673202614379085,0.5326797385620915,0.09736242266362748,0.47108706249322985,0.38832454988337484
golden,phi,0.6180339887498948,13,13,0.22,0.7,13,0.2,0.44,0.9649532710280374,0.49108204518430437,0.003952569169960474,0.04630152456239413,0.0,0.0,0.11686390532544379,0.47337278106508873,0.5266272189349113,0.11331813741452296,0.46314108895353623,0.46542349098282554
golden,phi,0.6180339887498948,13,13,0.22,0.7,21,0.06,0.44,0.9175946547884187,0.47851335656213706,0.003952569169960474,0.023715415019762844,0.0,0.0,0.027860696517412936,0.46567164179104475,0.5343283582089552,0.11136437642461738,0.4580396745866905,0.4823886291339281
golden,phi,0.6180339887498948,13,13,0.22,0.7,21,0.12,0.18,0.7176196032672112,0.41779891304347827,0.01129305477131564,0.15753811405985318,0.0,0.0,0.3739946380697051,0.43297587131367293,0.5670241286863271,0.08075545424943015,0.4560054566791859,0.3502927778106718
golden,phi,0.6180339887498948,13,13,0.22,0.7,21,0.12,0.44,0.9501738122827347,0.48722519310754603,0.003952569169960474,0.045736871823828344,0.0,0.0,0.07049345417925479,0.4551863041289023,0.5448136958710977,0.10908498860306089,0.4584584202861861,0.47551937920314113
golden,phi,0.6180339887498948,13,13,0.22,0.7,21,0.2,0.18,0.7575757575757576,0.43103448275862066,0.00846979107848673,0.1727837380011293,0.0,0.0,0.4015748031496063,0.421259842519685,0.5787401574803149,0.08791924454575056,0.45852317819918176,0.35742231221129095
golden,phi,0.6180339887498948,13,13,0.22,0.7,21,0.2,0.44,0.9665871121718377,0.49150485436893204,0.003952569169960474,0.06549971767363072,0.0,0.0,0.11391129032258064,0.4405241935483871,0.5594758064516129,0.10680560078150439,0.45994872656426133,0.46573118002239194
golden,phi,0.6180339887498948,13,13,0.22,0.82,13,0.12,0.18,0.7757437070938215,0.4368556701030928,0.010163749294184076,0.11349520045172219,0.0,0.0,0.3241935483870968,0.34516129032258064,0.6548387096774193,0.09150113969391079,0.4594566111199385,0.3710689778006469
golden,phi,0.6180339887498948,13,13,0.22,0.82,13,0.12,0.3,0.8500563697857948,0.45947592931139547,0.005081874647092038,0.06832298136645963,0.0,0.0,0.1858678955453149,0.35944700460829493,0.6405529953917051,0.10354933246499512,0.461252599773898,0.4243648892325777
golden,phi,0.6180339887498948,13,13,0.22,0.82,13,0.2,0.44,0.9516685845799769,0.4876179245283019,0.003952569169960474,0.038396386222473176,0.0,0.0,0.09170305676855896,0.3435225618631732,0.6564774381368268,0.11071312276131554,0.46015353729014474,0.4716161532621885
golden,phi,0.6180339887498948,13,13,0.22,0.82,21,0.06,0.18,0.7314606741573034,0.4224529526281635,0.007340485601355167,0.1225296442687747,0.0,0.0,0.2774936061381074,0.329923273657289,0.670076726342711,0.08694236405079779,0.45678236127099414,0.3791593747942059
golden,phi,0.6180339887498948,13,13,0.22,0.82,21,0.06,0.3,0.8549107142857143,0.4608904933814681,0.003952569169960474,0.05759457933370977,0.0,0.0,0.10828729281767956,0.36132596685082874,0.6386740331491713,0.10061869098013676,0.4644654641898214,0.4482741017726412
golden,phi,0.6180339887498948,13,13,0.22,0.82,21,0.12,0.18,0.740484429065744,0.4254473161033797,0.009034443817052512,0.13890457368718237,0.0,0.0,0.3075,0.3275,0.6725,0.08791924454575056,0.4550102781442219,0.3720543078101507
golden,phi,0.6180339887498948,13,13,0.22,0.82,21,0.12,0.3,0.8295454545454546,0.453416149068323,0.00564652738565782,0.08526256352343309,0.0,0.0,0.1724537037037037,0.3298611111111111,0.6701388888888888,0.09736242266362748,0.4627587723365739,0.4289457609515301
golden,phi,0.6180339887498948,13,13,0.22,0.82,21,0.12,0.44,0.9250851305334846,0.4805424528301887,0.003952569169960474,0.038396386222473176,0.0,0.0,0.05702647657841141,0.3635437881873727,0.6364562118126272,0.10843373493975904,0.46689754018786267,0.476289912360374
golden,phi,0.6180339887498948,13,13,0.22,0.82,21,0.2,0.3,0.8574766355140186,0.46163522012578617,0.003952569169960474,0.09824957651044608,0.0,0.0,0.20092378752886836,0.3233256351039261,0.6766743648960739,0.0963855421686747,0.46941410154957364,0.4279704914512176
golden,phi,0.6180339887498948,13,13,0.36,0.55,13,0.06,0.44,0.9328859060402684,0.4826388888888889,0.003952569169960474,0.020327498588368152,0.0,0.0,0.03206997084548105,0.6209912536443148,0.37900874635568516,0.11462064474112667,0.4554522196796523,0.47095451401154514
golden,phi,0.6180339887498948,13,13,0.36,0.55,13,0.12,0.18,0.7166469893742621,0.41746905089408526,0.010163749294184076,0.16883116883116883,0.0,0.0,0.5301418439716312,0.601063829787234,0.39893617021276595,0.08173233474438293,0.4610184128651811,0.34136630251395034
golden,phi,0.6180339887498948,13,13,0.36,0.55,13,0.12,0.3,0.8583042973286876,0.461875,0.003952569169960474,0.09260304912478826,0.0,0.0,0.2458521870286576,0.6229260935143288,0.3770739064856712,0.0986649299902312,0.4437671141345282,0.39273313034950685
golden,phi,0.6180339887498948,13,13,0.36,0.55,13,0.2,0.18,0.7329268292682927,0.42294159042927515,0.00846979107848673,0.189158667419537,0.0,0.0,0.5726495726495726,0.6,0.4,0.08303484207098664,0.4557992472112362,0.34321979977343264
golden,phi,0.6180339887498948,13,13,0.36,0.55,21,0.06,0.18,0.6659012629161883,0.39972432804962094,0.01355166572557877,0.1671372106154715,0.0,0.0,0.4094052558782849,0.5643153526970954,0.43568464730290457,0.07880169325952459,0.45612858885366303,0.33778974925555477
golden,phi,0.6180339887498948,13,13,0.36,0.55,21,0.06,0.3,0.8414496036240091,0.45694956949569493,0.003952569169960474,0.07792207792207792,0.0,0.0,0.14777777777777779,0.59,0.41,0.09964181048518397,0.46955085891304105,0.4275587634504024
golden,phi,0.6180339887498948,13,13,0.36,0.55,21,0.2,0.18,0.6834355828220859,0.40597667638483964,0.00846979107848673,0.21682665160926032,0.0,0.0,0.5281980742778541,0.5845942228335625,0.4154057771664374,0.08140670791273201,0.4525948496049035,0.335438965925372
golden,phi,0.6180339887498948,13,13,0.36,0.7,13,0.06,0.44,0.929125138427464,0.48163030998851897,0.003952569169960474,0.012422360248447204,0.0,0.0,0.011940298507462687,0.44477611940298506,0.5552238805970149,0.11299251058287203,0.45226356273202173,0.4884910436611251
golden,phi,0.6180339887498948,13,13,0.36,0.7,13,0.12,0.18,0.7331812998859749,0.4230263157894737,0.006211180124223602,0.13551665725578768,0.0,0.0,0.41450777202072536,0.44905008635578586,0.5509499136442142,0.08987300553565614,0.42490096923773246,0.3492345355292776
golden,phi,0.6180339887498948,13,13,0.36,0.7,13,0.12,0.44,0.9389830508474576,0.48426573426573427,0.003952569169960474,0.02710333145115754,0.0,0.0,0.05604719764011799,0.4498525073746313,0.5501474926253688,0.11396939107782482,0.4608393017383067,0.4783885239238092
golden,phi,0.6180339887498948,13,13,0.36,0.7,13,0.2,0.18,0.754079254079254,0.4299003322259136,0.006211180124223602,0.14398644833427443,0.0,0.0,0.4381443298969072,0.4536082474226804,0.5463917525773195,0.08922175187235429,0.428229819190469,0.3533568533372054
golden,phi,0.6180339887498948,13,13,0.36,0.7,13,0.2,0.44,0.9649532710280374,0.49108204518430437,0.003952569169960474,0.04630152456239413,0.0,0.0,0.11686390532544379,0.47337278106508873,0.5266272189349113,0.11331813741452296,0.46314108895353623,0.46542349098282554
golden,phi,0.6180339887498948,13,13,0.36,0.7,21,0.06,0.18,0.6756152125279642,0.4032042723631509,0.011857707509881422,0.1422924901185771,0.0,0.0,0.35195530726256985,0.4231843575418994,0.5768156424581006,0.07912732009117551,0.4556914661378254,0.34284896279214416
golden,phi,0.6180339887498948,13,13,0.36,0.7,21,0.12,0.18,0.7176196032672112,0.41779891304347827,0.01129305477131564,0.15753811405985318,0.0,0.0,0.3739946380697051,0.43297587131367293,0.5670241286863271,0.08075545424943015,0.4560054566791859,0.3502927778106718
golden,phi,0.6180339887498948,13,13,0.36,0.7,21,0.2,0.3,0.7824074074074074,0.43896103896103894,0.005081874647092038,0.12535290796160362,0.0,0.0,0.2781954887218045,0.4197994987468672,0.5802005012531328,0.08922175187235429,0.46888064701388055,0.3853684508346629
golden,phi,0.6180339887498948,13,13,0.36,0.82,13,0.2,0.18,0.8034883720930233,0.4455190199871051,0.007340485601355167,0.11688311688311688,0.0,0.0,0.32192846034214617,0.3390357698289269,0.6609642301710731,0.09215239335721263,0.45950232718370854,0.37811615816667643
golden,phi,0.6180339887498948,13,13,0.36,0.82,13,0.2,0.44,0.9516685845799769,0.4876179245283019,0.003952569169960474,0.038396386222473176,0.0,0.0,0.09170305676855896,0.3435225618631732,0.6564774381368268,0.11071312276131554,0.46015353729014474,0.4716161532621885
silver,metallic,0.43821356237309517,21,13,0.1,0.55,13,0.12,0.18,0.7981651376146789,0.44387755102040816,0.0877005347593583,0.07379679144385026,0.0,0.0,0.536,0.04,0.176,0.05014653207424292,0.5888267226842672,0.4094147744707331
silver,metallic,0.43821356237309517,21,13,0.1,0.55,13,0.12,0.3,0.808695652173913,0.44711538461538464,0.07272727272727272,0.0374331550802139,0.0,0.0,0.2462686567164179,0.04477611940298507,0.17164179104477612,0.053402800390752195,0.5826937001451002,0.43925616075032914
silver,metallic,0.43821356237309517,21,13,0.1,0.55,21,0.06,0.18,0.7723004694835681,0.4357615894039735,0.09518716577540107,0.09732620320855614,0.0,0.0,0.40625,0.06696428571428571,0.13839285714285715,0.045913383262780855,0.593384280640471,0.39185250910669317
silver,metallic,0.43821356237309517,21,13,0.1,0.55,21,0.06,0.44,0.8322440087145969,0.45422116527942924,0.07807486631016043,0.022459893048128343,0.0,0.0,0.07851239669421488,0.05785123966942149,0.14049586776859505,0.05437968088570498,0.5808131471391811,0.4831313721911865
silver,metallic,0.43821356237309517,21,13,0.1,0.55,21,0.12,0.18,0.7570754716981132,0.43087248322147653,0.0877005347593583,0.11550802139037433,0.0,0.0,0.5023255813953489,0.05116279069767442,0.14883720930232558,0.045262129599479,0.5967491117559818,0.39444466118616617
silver,metallic,0.43821356237309517,21,13,0.1,0.55,21,0.12,0.3,0.7910112359550562,0.44165621079046424,0.07914438502673797,0.06844919786096257,0.0,0.0,0.270042194092827,0.05907172995780591,0.13924050632911392,0.047215890589384565,0.5856162217178091,0.4198470324564429
silver,metallic,0.43821356237309517,21,13,0.1,0.7,13,0.06,0.18,0.8030973451327433,0.44539877300613495,0.08342245989304813,0.044919786096256686,0.0,0.0,0.2887323943661972,0.028169014084507043,0.4154929577464789,0.051123412569195704,0.5853380216177186,0.47345630696793056
silver,metallic,0.43821356237309517,21,13,0.1,0.7,21,0.2,0.18,0.7725118483412322,0.4358288770053476,0.08663101604278074,0.11336898395721925,0.0,0.0,0.4525862068965517,0.05172413793103448,0.41379310344827586,0.045587756431129924,0.5931698913090713,0.44383359458567495
silver,metallic,0.43821356237309517,21,13,0.1,0.82,13,0.06,0.18,0.806941431670282,0.44657863145258103,0.08021390374331551,0.028877005347593583,0.0,0.0,0.1937984496124031,0.03875968992248062,0.6511627906976745,0.053728427222403126,0.5853015853756016,0.5053985798856998
silver,metallic,0.43821356237309517,21,13,0.1,0.82,13,0.12,0.18,0.8056768558951966,0.44619105199516323,0.08235294117647059,0.033155080213903745,0.0,0.0,0.2265625,0.0390625,0.6484375,0.05275154672745034,0.5863670025048298,0.4957860113604687
silver,metallic,0.43821356237309517,21,13,0.1,0.82,13,0.12,0.3,0.8042553191489362,0.44575471698113206,0.07379679144385026,0.019251336898395723,0.0,0.0,0.10687022900763359,0.03816793893129771,0.6335877862595419,0.05405405405405406,0.5846287782880832,0.5300617324998312
silver,metallic,0.43821356237309517,21,13,0.1,0.82,13,0.2,0.18,0.7947019867549668,0.44280442804428044,0.08449197860962566,0.045989304812834225,0.0,0.0,0.3046875,0.03125,0.625,0.052425919895799415,0.5881369290791241,0.47310406985650566
silver,metallic,0.43821356237309517,21,13,0.1,0.82,21,0.12,0.18,0.7923250564334086,0.4420654911838791,0.08983957219251337,0.06096256684491978,0.0,0.0,0.24778761061946902,0.048672566371681415,0.6327433628318584,0.053728427222403126,0.5911380016751637,0.48487293470293713
silver,metallic,0.43821356237309517,21,13,0.1,0.82,21,0.12,0.3,0.8140043763676149,0.4487334137515078,0.07914438502673797,0.034224598930481284,0.0,0.0,0.11297071129707113,0.0502092050209205,0.6317991631799164,0.05275154672745034,0.5667886629760355,0.5244487246107701
silver,metallic,0.43821356237309517,21,13,0.22,0.55,13,0.06,0.44,0.8423326133909287,0.45720984759671746,0.08021390374331551,0.0074866310160427805,0.0,0.0,0.0364963503649635,0.3722627737226277,0.21897810218978103,0.053402800390752195,0.5812752562390133,0.4446967398891268
silver,metallic,0.43821356237309517,21,13,0.22,0.55,13,0.2,0.44,0.8211206896551724,0.450887573964497,0.06951871657754011,0.026737967914438502,0.0,0.0,0.1276595744680851,0.3475177304964539,0.20567375886524822,0.05177466623249756,0.5826006239701444,0.41263188046683524
silver,metallic,0.43821356237309517,21,13,0.22,0.55,21,0.06,0.18,0.7723004694835681,0.4357615894039735,0.09518716577540107,0.09732620320855614,0.0,0.0,0.40625,0.36160714285714285,0.13839285714285715,0.045913383262780855,0.593384280640471,0.32715863155567276
silver,metallic,0.43821356237309517,21,13,0.22,0.55,21,0.12,0.18,0.7570754716981132,0.43087248322147653,0.0877005347593583,0.11550802139037433,0.0,0.0,0.5023255813953489,0.29767441860465116,0.14883720930232558,0.045262129599479,0.5967491117559818,0.3380991462360001
silver,metallic,0.43821356237309517,21,13,0.22,0.55,21,0.2,0.18,0.7396593673965937,0.4251748251748252,0.09411764705882353,0.1411764705882353,0.0,0.0,0.6285714285714286,0.35714285714285715,0.15714285714285714,0.040377727124715074,0.5955457084755857,0.32358441707042124
silver,metallic,0.43821356237309517,21,13,0.22,0.7,13,0.12,0.3,0.8213507625272332,0.45095693779904306,0.07593582887700535,0.029946524064171122,0.0,0.0,0.19444444444444445,0.25,0.4027777777777778,0.053728427222403126,0.5831561941148788,0.4508460217476577
silver,metallic,0.43821356237309517,21,13,0.22,0.7,13,0.12,0.44,0.8463203463203464,0.45838218053927315,0.07700534759358289,0.0106951871657754,0.0,0.0,0.040268456375838924,0.2751677852348993,0.38926174496644295,0.05275154672745034,0.580237561960546,0.49150126944086936
silver,metallic,0.43821356237309517,21,13,0.22,0.7,13,0.2,0.3,0.8183807439824945,0.4500601684717208,0.0748663101604278,0.03636363636363636,0.0,0.0,0.25384615384615383,0.3,0.35384615384615387,0.05470530771735591,0.583248302569292,0.41299350597361634
silver,metallic,0.43821356237309517,21,13,0.22,0.7,13,0.2,0.44,0.8401727861771058,0.4565727699530516,0.06951871657754011,0.019251336898395723,0.0,0.0,0.09271523178807947,0.304635761589404,0.40397350993377484,0.05177466623249756,0.5836997249224085,0.4715325194481267
silver,metallic,0.43821356237309517,21,13,0.22,0.7,21,0.06,0.44,0.8293736501079914,0.45336481700118064,0.07700534759358289,0.017112299465240642,0.0,0.0,0.04924242424242424,0.25757575757575757,0.3977272727272727,0.05307717355910127,0.5819325680280969,0.49140440048287964
silver,metallic,0.43821356237309517,21,13,0.22,0.7,21,0.12,0.18,0.7911832946635731,0.4417098445595855,0.08663101604278074,0.0877005347593583,0.0,0.0,0.35964912280701755,0.2543859649122807,0.42543859649122806,0.047215890589384565,0.591874560015482,0.40356868759938147
silver,metallic,0.43821356237309517,21,13,0.22,0.7,21,0.12,0.44,0.8446389496717724,0.4578884934756821,0.0748663101604278,0.023529411764705882,0.0,0.0,0.07569721115537849,0.24701195219123506,0.41434262948207173,0.05665906870726148,0.5819459069888451,0.4917036118029037
silver,metallic,0.43821356237309517,21,13,0.22,0.7,21,0.2,0.18,0.7725118483412322,0.4358288770053476,0.08663101604278074,0.11336898395721925,0.0,0.0,0.4525862068965517,0.25862068965517243,0.41379310344827586,0.045587756431129924,0.5931698913090713,0.3965429541915863
